station,condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
Birr co offlay,lags_only,xgboost_direct,8,212,6.433944831039135,8.651669857296405,9.949191829481132,15.604968877578816,0.353319853380023,0.4455823702585461
Birr co offlay,lags_only,xgboost_direct,9,212,6.544628861165686,8.038053381297958,9.644616588443396,14.845672831313207,0.3214215618474922,0.4585591725863911
Birr co offlay,lags_only,xgboost_direct,10,212,7.215996150058141,8.851375160932013,10.012999592273584,15.328205345664143,0.2793372172284635,0.4225432814001423
Birr co offlay,lags_only,xgboost_direct,11,212,7.0472530333528365,9.229290601364877,9.785991932273586,15.38092581256083,0.2798631878990785,0.3999522061391274
Birr co offlay,lags_only,xgboost_direct,12,212,6.92251094769601,10.305800352471696,9.526130719575471,15.692270620784226,0.2733134625718731,0.3432562691837735
Birr co offlay,lags_only,xgboost_direct,13,212,7.001870920960889,10.536315588064678,9.151914323867926,15.12706082804524,0.2349282703947289,0.3034789964927901
Birr co offlay,lags_only,xgboost_direct,14,212,5.154982705233045,9.273920722320506,8.806124925047172,14.790613826526991,0.4146139477795982,0.3729860821808685
Birr co offlay,lags_only,xgboost_direct,15,211,5.041488960730071,8.24037802306447,8.390366017393365,14.098457790948576,0.3991336074875659,0.4155120974753056
Birr co offlay,lags_only,xgboost_direct,16,211,5.345039622756921,8.36586449363599,8.338578147488152,14.127488764711272,0.3589986772064949,0.407830745225373
Birr co offlay,lags_only,xgboost_direct,17,212,5.854766284930617,8.984516363165138,8.476087709339623,14.522899445768996,0.3092607715137996,0.3813551903519772
Birr co offlay,lags_only,xgboost_direct,18,212,7.639340823472433,12.48374232640426,9.711468644433962,16.749104897509746,0.2133691511375213,0.2546621205853012
Birr co offlay,lags_only,xgboost_direct,19,212,8.824233560884759,14.998601903966088,11.167648273820756,19.541219110543636,0.2098395880204643,0.2324633473930261
Birr co offlay,lags_only,xgboost_direct,20,212,10.121413563515423,17.456133555810432,12.099985763726416,21.467150083627505,0.1635185560418091,0.1868443883883861
Birr co offlay,lags_only,xgboost_direct,21,212,10.078352231478933,17.88700923652662,11.91951525754717,21.675368351870524,0.1544662669819944,0.1747771504430733
Birr co offlay,lags_only,xgboost_direct,22,212,7.976940956433348,11.687741562193628,9.997427804245282,16.419249589858655,0.2021006690294836,0.2881683478754986
Birr co offlay,lags_only,xgboost_direct,23,212,7.457451937299931,11.84023110235156,9.696251708679243,16.221772354270485,0.2308933223521141,0.2701024990506326
Birr co offlay,lags_only,xgboost_direct,24,212,6.950576747666472,10.259900373449584,10.198217364292452,15.720667298345692,0.3184517941338565,0.3473622856626926
Dublin Airport,reference,persistence,1,145,3.794534872779311,5.961886383154207,3.794534872779311,5.961886383154207,,
Dublin Airport,reference,persistence,2,145,4.634532650255173,6.977297009161245,4.634532650255173,6.977297009161245,,
Dublin Airport,reference,persistence,3,145,5.68929183315862,8.803797795979595,5.68929183315862,8.803797795979595,,
Dublin Airport,reference,persistence,4,145,6.253511836110345,9.764232095901804,6.253511836110345,9.764232095901804,,
