station,horizon,n_origins_lags_only,n_origins_lags_meteo,n_origins_common,first_date,last_date,n_months,months,coverage_pct,exclusion_reason
Pearse street dublin,13,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,14,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,15,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,16,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,17,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,18,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,19,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,20,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,21,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,22,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,23,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,24,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,1,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,2,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,3,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,4,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,5,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,6,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,7,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,8,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,9,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,10,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,11,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,12,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,13,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,14,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,15,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,16,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,17,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,18,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,19,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,20,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,21,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,22,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,23,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Ringsend dublin,24,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,1,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,2,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,3,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,4,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
