origin,train_start_config,xgboost_train_end_effective,xgboost_n_train_rows_nominal_hourly,sarima_n_train_rows_used,sarima_capped_at_17520,sarima_train_start_effective
2023-09-16,2019-01-01,2023-09-15T23:00:00,41256,17520,True,2021-09-16T00:00:00
2023-09-17,2019-01-01,2023-09-16T23:00:00,41280,17520,True,2021-09-17T00:00:00
2023-09-18,2019-01-01,2023-09-17T23:00:00,41304,17520,True,2021-09-18T00:00:00
2023-09-19,2019-01-01,2023-09-18T23:00:00,41328,17520,True,2021-09-19T00:00:00
2023-09-20,2019-01-01,2023-09-19T23:00:00,41352,17520,True,2021-09-20T00:00:00
2023-09-21,2019-01-01,2023-09-20T23:00:00,41376,17520,True,2021-09-21T00:00:00
2023-09-22,2019-01-01,2023-09-21T23:00:00,41400,17520,True,2021-09-22T00:00:00
2023-09-23,2019-01-01,2023-09-22T23:00:00,41424,17520,True,2021-09-23T00:00:00
2023-09-24,2019-01-01,2023-09-23T23:00:00,41448,17520,True,2021-09-24T00:00:00
2023-09-25,2019-01-01,2023-09-24T23:00:00,41472,17520,True,2021-09-25T00:00:00
2023-09-26,2019-01-01,2023-09-25T23:00:00,41496,17520,True,2021-09-26T00:00:00
2023-09-27,2019-01-01,2023-09-26T23:00:00,41520,17520,True,2021-09-27T00:00:00
2023-09-28,2019-01-01,2023-09-27T23:00:00,41544,17520,True,2021-09-28T00:00:00
2023-09-29,2019-01-01,2023-09-28T23:00:00,41568,17520,True,2021-09-29T00:00:00
2023-09-30,2019-01-01,2023-09-29T23:00:00,41592,17520,True,2021-09-30T00:00:00
2023-10-01,2019-01-01,2023-09-30T23:00:00,41616,17520,True,2021-10-01T00:00:00
2023-10-02,2019-01-01,2023-10-01T23:00:00,41640,17520,True,2021-10-02T00:00:00
2023-10-03,2019-01-01,2023-10-02T23:00:00,41664,17520,True,2021-10-03T00:00:00
2023-10-04,2019-01-01,2023-10-03T23:00:00,41688,17520,True,2021-10-04T00:00:00
2023-10-05,2019-01-01,2023-10-04T23:00:00,41712,17520,True,2021-10-05T00:00:00
2023-10-06,2019-01-01,2023-10-05T23:00:00,41736,17520,True,2021-10-06T00:00:00
2023-10-07,2019-01-01,2023-10-06T23:00:00,41760,17520,True,2021-10-07T00:00:00
2023-10-08,2019-01-01,2023-10-07T23:00:00,41784,17520,True,2021-10-08T00:00:00
2023-10-09,2019-01-01,2023-10-08T23:00:00,41808,17520,True,2021-10-09T00:00:00
2023-10-10,2019-01-01,2023-10-09T23:00:00,41832,17520,True,2021-10-10T00:00:00
